L, a, b, x, y
149.04, 174.65, 189.04, 454.26, 446.87
149.06, 173.90, 188.53, 452.64, 446.45
149.60, 173.33, 188.54, 452.70, 446.63
147.78, 175.48, 188.88, 451.90, 446.04
148.08, 175.52, 188.93, 451.91, 446.16
148.31, 175.23, 188.90, 451.94, 446.12
148.31, 175.23, 188.90, 451.94, 446.12
147.44, 175.40, 189.00, 451.95, 446.29
147.45, 175.34, 188.99, 451.95, 446.29
147.99, 175.42, 189.20, 452.01, 446.24
147.99, 175.42, 189.20, 452.01, 446.24
148.27, 175.16, 188.81, 451.94, 444.73
148.27, 175.16, 188.81, 451.94, 444.73
149.81, 172.94, 187.92, 452.12, 443.38
149.81, 172.94, 187.92, 452.12, 443.38
149.51, 173.80, 188.34, 452.89, 441.28
149.51, 173.80, 188.34, 452.89, 441.28
149.36, 173.67, 189.26, 454.88, 439.58
149.36, 173.67, 189.26, 454.88, 439.58
149.59, 173.48, 188.75, 455.92, 439.15
149.66, 173.22, 188.81, 455.83, 439.14
149.31, 174.01, 188.39, 456.81, 439.25
149.31, 174.01, 188.39, 456.81, 439.25
150.47, 173.91, 189.44, 457.56, 439.79
150.47, 173.91, 189.44, 457.56, 439.79
150.19, 173.84, 188.85, 457.26, 439.96
150.19, 173.84, 188.85, 457.26, 439.96
150.26, 174.04, 189.22, 457.07, 439.91
150.39, 174.31, 189.24, 457.07, 439.91
150.42, 174.16, 189.12, 457.02, 439.93
150.40, 174.22, 189.11, 457.02, 439.93
150.07, 174.49, 189.11, 457.03, 439.89
150.05, 174.50, 189.11, 457.03, 439.89
149.90, 174.57, 189.14, 457.12, 439.92
149.90, 174.57, 189.14, 457.12, 439.92
149.80, 173.16, 188.74, 456.67, 440.41
149.80, 173.31, 188.73, 456.67, 440.41
149.53, 174.76, 188.92, 456.68, 440.83
149.53, 174.76, 188.92, 456.68, 440.83
150.06, 175.64, 189.34, 456.80, 440.84
150.06, 175.64, 189.34, 456.80, 440.84
150.06, 175.64, 189.34, 456.80, 440.84
150.06, 175.64, 189.34, 456.80, 440.84
150.06, 175.64, 189.34, 456.80, 440.84
150.06, 175.63, 189.34, 456.80, 440.84
150.06, 175.63, 189.35, 456.80, 440.84
150.06, 175.63, 189.34, 456.80, 440.84
150.06, 175.64, 189.34, 456.80, 440.84
150.10, 175.67, 189.33, 456.80, 440.84
150.05, 175.68, 189.35, 456.80, 440.84
150.07, 175.67, 189.33, 456.80, 440.84
150.05, 175.67, 189.35, 456.80, 440.84
149.69, 175.90, 189.36, 456.82, 440.81
148.49, 176.64, 189.58, 456.23, 440.74
148.77, 176.35, 189.58, 456.21, 440.78
148.73, 175.45, 188.89, 455.74, 440.86
148.73, 175.45, 188.89, 455.74, 440.86
149.90, 174.39, 189.18, 453.79, 442.65
149.89, 174.39, 189.18, 453.79, 442.65
149.94, 175.39, 189.52, 452.73, 444.53
149.94, 175.39, 189.52, 452.73, 444.53
150.47, 172.69, 188.40, 453.34, 445.23
150.34, 172.74, 188.42, 453.34, 445.23
147.95, 174.13, 188.84, 453.92, 445.76
147.95, 174.13, 188.84, 453.92, 445.76
149.16, 174.33, 189.19, 454.55, 445.95
149.36, 174.28, 189.17, 454.55, 445.98
149.00, 174.52, 189.30, 454.52, 446.04
149.61, 174.32, 189.28, 454.54, 446.06
150.02, 174.15, 189.34, 454.66, 445.86
150.02, 174.16, 189.34, 454.66, 445.86
150.00, 174.16, 189.35, 454.66, 445.86
150.00, 174.16, 189.34, 454.66, 445.86
150.00, 174.16, 189.35, 454.66, 445.86
150.03, 174.16, 189.35, 454.66, 445.86
148.61, 174.24, 188.97, 453.94, 445.87
148.61, 174.24, 188.97, 453.94, 445.87
148.73, 173.58, 188.43, 452.50, 444.68
148.73, 173.58, 188.43, 452.50, 444.68
148.91, 174.41, 188.83, 449.65, 441.96
148.91, 174.41, 188.83, 449.65, 441.96
150.45, 173.55, 188.32, 445.56, 438.18
150.78, 173.78, 188.51, 445.50, 438.31
153.54, 172.52, 188.00, 439.97, 433.66
153.54, 172.52, 188.00, 439.97, 433.66
153.69, 171.53, 187.65, 433.34, 428.56
153.64, 171.32, 187.38, 433.34, 428.56
154.04, 171.74, 187.57, 424.91, 422.52
154.06, 171.73, 187.57, 424.91, 422.52
153.36, 170.61, 187.41, 415.28, 416.64
153.40, 170.43, 187.35, 415.26, 416.69
153.17, 172.20, 187.93, 406.32, 408.15
153.17, 172.20, 187.93, 406.32, 408.15
150.73, 171.85, 187.70, 396.93, 402.16
150.72, 171.85, 187.70, 396.93, 402.16
150.86, 174.03, 189.04, 388.19, 397.05
150.86, 174.03, 189.04, 388.19, 397.05
150.19, 173.81, 189.07, 380.98, 391.40
149.90, 174.06, 189.11, 380.89, 391.50
150.01, 174.43, 189.18, 374.40, 387.53
150.01, 174.43, 189.18, 374.40, 387.53
149.71, 171.85, 189.28, 369.07, 383.88
150.34, 170.98, 189.30, 369.09, 383.81
149.95, 174.96, 190.49, 363.91, 382.15
149.95, 174.96, 190.49, 363.91, 382.15
148.84, 173.83, 189.74, 360.87, 379.21
148.84, 173.83, 189.74, 360.87, 379.21
149.06, 173.72, 189.66, 358.29, 377.61
149.06, 173.72, 189.66, 358.29, 377.61
147.33, 174.10, 188.32, 355.94, 376.35
147.33, 174.09, 188.33, 355.94, 376.35
147.54, 173.80, 189.15, 354.73, 374.87
147.54, 173.80, 189.15, 354.73, 374.87
146.15, 172.64, 188.59, 353.72, 374.05
146.47, 172.64, 188.64, 353.68, 374.11
147.42, 173.43, 189.33, 353.54, 373.98
147.05, 173.81, 189.33, 353.49, 374.01
146.56, 173.69, 189.48, 353.52, 374.01
146.52, 173.73, 189.47, 353.52, 374.01
146.21, 173.44, 189.24, 353.50, 374.01
146.05, 173.49, 189.45, 353.55, 373.89
146.08, 173.54, 189.57, 353.55, 373.89
146.07, 173.56, 189.60, 353.55, 373.89
145.76, 173.58, 189.62, 353.55, 373.89
146.34, 173.99, 189.76, 353.57, 373.86
146.28, 174.38, 189.88, 353.57, 373.86
146.25, 174.37, 189.89, 353.57, 373.86
146.16, 174.38, 189.88, 353.57, 373.86
146.55, 174.56, 190.05, 353.54, 373.92
