,Start Time,FPS10,Frame Read,Waitkey 1,Warp,Object Detection,Color Quant,CD Main,Algorithm,Display Angles,End Time,Total
0,248664.3,27397.3,2.3,0.1,10.4,159.9,2.6,0.6,0.4,18.9,248664.6,218.6
1,248664.6,9.1,1.3,4.2,9.0,66.5,1.8,0.4,0.2,0.3,248664.6,83.9
2,248664.6,9.9,1.2,1.9,8.1,65.6,1.4,0.4,0.2,0.3,248664.7,79.2
3,248664.7,10.5,1.2,1.0,7.3,63.1,1.5,0.4,0.2,0.3,248664.8,75.1
4,248664.8,10.9,1.2,1.0,7.7,66.5,1.0,0.4,0.3,0.3,248664.9,78.5
5,248664.9,11.2,2.4,1.0,9.2,65.4,0.9,0.7,0.3,0.3,248664.9,80.3
6,248664.9,11.4,1.2,1.0,8.2,65.9,0.8,0.4,0.3,0.3,248665.0,78.0
7,248665.0,11.5,1.2,0.9,8.0,64.3,0.6,0.3,0.2,0.3,248665.1,76.0
8,248665.1,11.7,1.2,1.1,8.3,63.9,0.6,0.3,0.3,0.3,248665.2,76.1
9,248665.2,11.8,1.2,0.9,8.0,65.3,0.6,0.4,0.3,0.3,248665.3,77.1
10,248665.3,11.9,1.4,1.2,8.0,67.6,0.6,0.3,0.2,0.3,248665.4,101.0
11,248665.4,12.4,1.4,1.6,6.6,63.8,0.4,0.3,0.2,0.3,248665.4,74.8
12,248665.4,12.6,1.2,1.0,7.6,63.6,0.4,0.3,0.2,0.3,248665.5,74.8
13,248665.5,12.6,1.4,0.9,7.9,66.7,0.4,0.3,0.2,0.3,248665.6,78.1
14,248665.6,12.6,1.2,1.2,8.2,61.4,0.4,0.3,0.3,0.3,248665.7,73.3
15,248665.7,12.7,1.3,1.0,7.6,64.5,0.4,0.3,0.2,0.3,248665.7,75.6
16,248665.7,12.7,1.2,1.0,8.3,67.2,0.4,0.3,0.2,0.3,248665.8,78.9
17,248665.8,12.7,1.3,0.9,7.8,65.7,0.5,0.3,0.3,0.3,248665.9,77.2
18,248665.9,12.7,2.4,1.0,6.5,63.7,0.4,0.3,0.4,0.3,248666.0,75.0
19,248666.0,12.7,1.3,0.9,8.7,64.2,0.5,0.4,0.3,0.3,248666.0,76.5
20,248666.0,12.7,1.2,1.2,5.9,64.7,0.4,0.3,0.3,0.3,248666.1,96.2
21,248666.1,12.8,1.2,1.7,7.0,62.8,0.4,0.3,0.2,0.3,248666.2,74.0
22,248666.2,12.8,1.4,1.0,7.9,65.6,0.4,0.3,0.4,0.3,248666.3,77.3
23,248666.3,12.8,1.5,1.0,7.2,64.7,0.5,0.3,0.2,0.3,248666.4,75.8
24,248666.4,12.8,1.2,1.0,7.5,64.6,0.7,0.3,0.2,0.4,248666.4,76.0
25,248666.4,12.8,1.3,1.0,7.7,65.4,0.6,0.3,0.2,0.3,248666.5,76.8
26,248666.5,12.8,1.2,0.9,8.1,66.7,0.7,0.3,0.3,0.3,248666.6,78.6
27,248666.6,12.8,1.3,0.9,8.1,63.3,0.8,0.3,0.2,0.3,248666.7,75.3
28,248666.7,12.8,1.3,1.0,8.1,64.6,2.0,0.4,0.2,0.3,248666.7,78.0
29,248666.7,12.7,1.2,0.9,8.1,65.7,1.9,0.4,0.2,0.3,248666.8,78.9
30,248666.8,12.7,1.3,1.0,7.9,65.1,1.4,0.4,0.2,0.3,248666.9,99.5
31,248666.9,12.7,2.2,1.4,8.9,64.0,1.6,0.4,0.2,0.5,248667.0,79.3
32,248667.0,12.6,1.3,1.0,8.0,64.4,2.8,0.6,0.2,0.4,248667.1,78.7
33,248667.1,12.5,1.3,0.9,8.1,59.0,2.0,0.4,0.1,0.3,248667.2,72.3
34,248667.2,12.6,1.2,0.8,7.0,63.2,2.3,0.5,0.2,0.3,248667.2,75.6
35,248667.2,12.6,1.2,0.9,8.0,67.0,2.0,0.4,0.2,0.3,248667.3,80.2
36,248667.3,12.6,1.2,0.9,7.9,64.3,2.2,0.4,0.2,0.3,248667.4,77.5
37,248667.4,12.6,1.3,0.9,7.9,66.2,1.6,0.4,0.2,0.3,248667.5,78.9
38,248667.5,12.5,1.3,0.9,8.2,60.8,2.4,0.4,0.3,0.3,248667.5,74.7
39,248667.5,12.6,1.2,0.9,8.1,63.9,1.7,0.4,0.2,0.3,248667.6,76.8
40,248667.6,12.6,1.2,1.0,7.9,67.7,2.7,0.5,0.2,0.3,248667.7,104.2
41,248667.7,12.5,1.3,1.4,7.9,63.4,1.8,0.4,0.2,0.4,248667.8,76.9
42,248667.8,12.6,1.2,1.0,8.2,66.0,1.8,0.5,0.2,0.3,248667.9,79.2
43,248667.9,12.6,1.2,1.2,7.7,74.5,2.5,0.5,0.2,0.3,248668.0,88.2
44,248668.0,12.3,2.6,1.9,9.5,78.4,2.5,0.5,0.2,0.3,248668.1,95.9
45,248668.1,12.0,1.4,1.8,8.9,70.7,2.2,0.5,0.2,0.4,248668.2,86.3
46,248668.2,11.9,1.4,1.7,8.1,65.0,2.0,0.4,0.2,0.3,248668.2,79.1
47,248668.2,11.9,1.2,1.7,7.9,62.6,2.6,0.4,0.2,0.3,248668.3,77.1
48,248668.3,11.9,1.3,1.4,8.0,65.5,2.7,0.4,0.2,0.3,248668.4,79.8
